"blog_id","blog_name","blog_description","blog_url","blog_author","blog_author_twitter_username","blog_rss_feed","blog_tags",id,blog_RSSCrawl_active,blog_last_post_timestamp,"blog_crawlingType","created_at","updated_at",hours_bw_posts_median,hours_bw_posts_average,"reason_for_deactivation","blog_thumb"
"ghinutrileaks","Ghi Nutrileaks","Live Long, Live Strong","http://ghinutrileaks.com/","Ghida Arnaout","ghinutrileaks","http://ghinutrileaks.com/feed/","food",217,0,1379331960,"","0000-00-00 00:00:00","2016-08-01 19:32:23",NULL,NULL,"More than 1 year since last post","ghinutrileaks"
"onthesidewalks","On The Sidewalks","What I see through my heart while walking the sidewalks (by S.)","http://onthesidewalks.wordpress.com/","Sally Abi Khalil","sally_abk","http://onthesidewalks.wordpress.com/feed/","society, poetry, personal",218,1,1489364700,"","0000-00-00 00:00:00","2017-03-13 00:31:51",NULL,NULL,NULL,"onthesidewalks"
"dropsofcream","Dropsofcream","Follow me following my dreams...","http://www.dropsofcream.com/","Riwa Sayegh","dropsofcream","http://www.dropsofcream.com/feeds/posts/default?alt=rss","fashion",220,0,1425671820,"","0000-00-00 00:00:00","2016-08-01 19:32:23",NULL,NULL,"More than 1 year since last post","dropsofcream"
"vaneliassa","According to Moi.","A blog about beauty, fashion and lifestyle","http://www.vaneliassa.blogspot.com/","","vanmakhoul","http://vaneliassa.blogspot.com/feeds/posts/default?alt=rss","fashion",370,1,1484243700,"","2014-12-10 00:00:00","2017-01-12 18:02:03",NULL,NULL,NULL,"vaneliassa"
"takesecurityback","Take Security Back Blog","This blog aims at educating Lebanese citizens and raising their awareness regarding various aspects of security and safety, whether they deal with people, premises or information and communication technologies.","http://takesecurityback.com/","Hadi El Khoury","takesecback","http://takesecurityback.com/syndication.axd","society, politics",221,0,1423420680,"","0000-00-00 00:00:00","2016-08-01 19:32:23",NULL,NULL,"More than 1 year since last post","takesecurityback"
"thebigsam","The BiGsAm.com","technology & more","http://thebigsam.com/","Samer Chami","bigsam","http://thebigsam.com/feed/","tech",223,0,1391444220,"","0000-00-00 00:00:00","2016-08-01 19:32:23",NULL,NULL,NULL,"thebigsam"
"expatriateinlebanon","Expatriate in Lebanon","A curious foreigner learning a new culture and breaking into international reporting.","http://expatriateinlebanon.com","Kaylyn Hlavaty","kaylynhlavaty","http://expatriateinlebanon.com/feed/","politics, society",224,0,1423509480,"","0000-00-00 00:00:00","2016-08-01 19:32:23",NULL,NULL,"More than 1 year since last post","expatriateinlebanon"
"probeirut","Pro Beirut","Beirooting Out The Evil","http://probeirut.com","Tanya Dernaika","tanyadernaika","http://probeirut.com/?feed=rss2","society",225,0,1392538620,"","0000-00-00 00:00:00","2016-08-01 19:32:23",NULL,NULL,"More than 1 year since last post","probeirut"
"nicolashayek","Nicolas El Hayek","A blog about business, infographics, and lots of good stuff","http://nicolashayek.me/","Nicolas Hayek","nicocohayek","http://nicolashayek.me/feed/","tech, design, society",226,0,1440166140,"","0000-00-00 00:00:00","2017-01-03 05:36:13",NULL,NULL,"More than 1 year since last post","nicolashayek"
"evention","Evention","Featuring the Best Events, Music and Movie Trailers from Lebanon and the Middle east","http://evention.me/","Cyril rouhana","_evention","http://evention.me/feed/","society, music",227,0,1387286100,"","0000-00-00 00:00:00","2016-08-01 19:32:23",NULL,NULL,NULL,"evention"
"bananapook","Bananapook","ART/DESIGN/BEIRUT
News and features for visual arts junkies","http://www.bananapook.com/","Bana Bissat","bananapook","http://www.bananapook.com/feeds/posts/default?alt=rss","design,society",229,1,1488889560,"","0000-00-00 00:00:00","2017-03-07 12:32:19",NULL,NULL,NULL,"bananapook"
